Aanbieding in €,Adres,Categorie,Conclusie,Eindcijfer,Gewicht (gram),Naam,Nevenvestiging,Opmerking,Plaats,Plaats op ranglijst,Prijs per stuk in €,Vet in %
"10 voor  9,00",Gedempte Vaart 17,(Ruim) Voldoende," Beslist niet slecht, maar wel een oliebol waarbij verbeterpuntjes zijn aan te geven. Hij zou bijvoorbeeld iets luchtiger kunnen. De krokante korst valt erg in de smaak.",7.5,96.2,Echte Bakker De Korenaar,False,,Surhuisterveen,28,1,11.1
-,Bolensteinsestraat 1-3,(Ruim) Voldoende," Olink is een fantastische bakker. Dat bewijst het verleden. Ook dit keer is de smaak goed, maar veel panelleden hebben moeite met het hoge vetgehalte.",7.5,118.4,Bakkerij Olink,False,,Maarssen,29,1,16.7
"10 voor  9,50",Laan van Wateringseveld 678,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,False,,Den Haag,30,1,14.6
"10 voor  8,00",Looweg 28,(Ruim) Voldoende, Oliebollen bakken is ‘het ding’ van Henk Slagter. Hij legt er zijn ziel en zaligheid in. Mooie knapperige korst. Meer dan gemiddelde hoeveelheid krenten. En daar moet je van houden.,7.5,84,Bakkerij Slagter,False,,Coevorden,31,0.9,9.2
"10 voor  8,50",Blijmarkt 4,(Ruim) Voldoende," Jammer dat de korst een beetje stug is, want op zich is dit een smakelijke oliebol. Met een meer dan gemiddelde vulling geeft bakker Arend Kisteman de bol een hoog smaakgehalte.",7.5,93.1,De Stadsbakker,False,,Zwolle,32,0.9,11.9
"10 voor  9,00",Keenenburgweg 12,(Ruim) Voldoende," Van sommige bakkers verwacht je gevoelsmatig een hogere score. Holtkamp verliest vooral punten op de korst, die als te slap wordt ervaren. De smaak is voor de rest in orde.",7.5,93.2,Bakkerij Holtkamp,False,,Schipluiden,33,0.95,11.7
"10 voor  8,00",Rijssensestraat 178,(Ruim) Voldoende," Een beetje een doorsnee oliebol. Mooie knapperige korst, goed op smaak en goed luchtig. Sommigen hebben moeite met de duidelijk zichtbare stukjes appel. Wel mooi goudbruin.",7.5,97.6,Brood- en Banketbakkerij Lorkeers,False,,Nijverdal,34,0.9,9.5
"12 voor  9,00",Raadhuisplein 1,(Ruim) Voldoende," Niet slecht, maar een beetje een dagkoers. Raymond Muller kan een veel betere oliebol bakken. Vrij compacte structuur, vulling aan de zuinige kant. Heeft niet echt veel smaak.",7.5,101.1,Oliebollenbakkerij Muller,False,,Nieuwerkerk aan den IJssel,35,1,8
"11 voor  9,00",Koopmansplein,(Ruim) Voldoende, Een echte oliebol in de goede betekenis van het woord. Zal zeker aan de kraam erg smakelijk weghappen en daarmee is Chris Spelbrink hét verkooppunt voor Assen en omgeving.,7.5,105.7,Drentse Gebakkraam Chris Spelbrink,False,,Assen,36,1,8.2
,Beneden Oostdijk 64,(Ruim) Voldoende, Dorus de Boeck heeft het afgelopen jaar veel geïnvesteerd in cursussen en apparatuur. Dat levert een smakelijke oliebol op. Prima adres voor wie niet zelf wil bakken.,7.5,89.6,Zoete Lekkernijen,False,,Oud-Beijerland,37,0.9,9.2
"12 voor  10,00",Ella Fitzgeraldplein 14,(Ruim) Voldoende, Neplenbroek is gaan experimenteren met de receptuur. Dat leidt tot verdeelde reacties: van ‘de bol is te geel’ en ‘de appel is te zuur’ tot ‘prima’ en ‘frisse smaak’. Voer voor discussie!,7.5,99.7,Bakkerij Neplenbroek,False,,Utrecht,38,1,13.1
-,Leeuweringerstraat 40,(Ruim) Voldoende, Uitstekende oliebol voor wie van zoet houdt. De grote hoeveelheid vruchten is voor anderen een brug te ver. De structuur kan ook nog wat luchtiger. Wel een redelijke korst.,7,91.6,Echte Bakker John Treur,False,,Oudewater,39,0.9,9.1
-,Koningstraat 5,(Ruim) Voldoende," De voorgaande drie jaar scoorde Ruud Gremmee twee keer een 9,5. Dus zal het nu even slikken zijn. Vooral de korstkwaliteit krijgt veel kritiek. De smaak is in orde.",7,94.7,Bakkerij Ruud & Chantal Gremmee,False,,Rossum,40,0.9,11.4
-,Dorpsstraat 86/S,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bakker,False,,Zoetermeer,41,0.95,13.8
-,Het Dorp 109,(Ruim) Voldoende," De oliebol ziet er geweldig uit. Je zou er zo een hap van nemen. Doe je dat, dan valt eerst de korst een beetje tegen. Die mag knapperiger. En ook de smaak is een beetje gemiddeld.",7,102.1,De bakkers Lamers,False,,Heesch,42,0.95,10
"6 voor  5,00",Oranjeplein 14,(Ruim) Voldoende," Een keurige oliebol die best lekker weg eet. Sommigen vinden de appel iets te overheersend, anderen hebben daar geen moeite mee. Een tikkeltje aan de droge kant. Geen probleem.",7,103.3,Echte Bakker De Koning,False,,Puttershoek,43,1,9.9
"10 voor  9,50",AaBe-straat 3,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker Van Iersel,False,,Tilburg,44,1,13.3
"10 voor  8,00",Dorpsstraat 16,(Ruim) Voldoende," Martin Nijkamp levert een visuele topprestatie: de oliebol ziet er erg mooi uit. Maar de smaak wordt als te overweldigend ervaren, onder meer door de kwistige vulling. Het blijft lastig.",7,96.2,Echte Bakker Nijkamp,False,,Holten,45,0.9,11
"12 voor  10,00","parkeerterrein Intratuin, Voorwaarts 420",(Ruim) Voldoende," Jammer dat verbrande rozijnen voor een naar bittertje zorgen. Voor de rest zorgt Sidney Bischoff, tevens zanger van het Nederlandse levenslied, voor een prima oliebol.",7,95.8,Oud Hollandsche Gebakkraam Bischoff-Hanraths,False,,Apeldoorn,46,1,7
"10 voor  9,00",Markt,(Ruim) Voldoende," Op het oog een wat mindere oliebol, maar de smaak valt alleszins mee. Gedachteloos weghappertje waar goed mee te leven valt. Vulling kan wel wat beter worden verdeeld.",7,102.3,Helmondsche Gebakkroam Van Hout,False,,Helmond,47,1,7.1
"10 voor  7,95",Hammerskjoldhof 44 A,(Ruim) Voldoende, Een zaak waar – gelet op de uitstraling – het bakkersvak nog een Ambacht is. De gebruikte mix zorgt voor een gele kleur en smaakt een beetje naar krentenbrood.,7,84.9,Brood by Alex,False,,Utrecht,48,0.85,9.7
"12 voor  10,00",Van Hogendorpstraat 53,(Ruim) Voldoende, IJsmeester Luc Blok verdiepte zich dit jaar in de lastige wereld van de oliebol en behaalt het beste resultaat ooit. Maar: erg veel bijsmaken. Die zouden minder overheersend mogen.,7,87.7,IJssalon Luciano,False,,Wassenaar,49,1,8.1
"6 voor  5,00","Papsouwselaan 492, winkelcentrum De Hoven",(Ruim) Voldoende, Keurige middenmoter. Met iets meer vulling zal het smaakgehalte toenemen. Ook de korst valt nog wel te verbeteren. Maar voor de rest hapt hij best aardig weg.,7,76.4,Temple of Food Gebakkraam Cordes,False,,Delft,50,1,11.2
"10 voor  9,00",Hoofdstraat,(Ruim) Voldoende, De uitbater herkent de verslaggever en wil niets met test te maken te hebben. Is wel zo sportief oliebollen mee te geven. Hij hoeft zich nergens voor te schamen: een correct bolletje.,7,96.6,Gouki de Oliebollenkoning,False,,Hoogeveen,51,1,8.3
"10 voor  8,00",Grote Oever 2,(Ruim) Voldoende, Steenbergen beweegt zich al jaren binnen dezelfde bandbreedte. Dat betekent dat hij redelijk constant bakt. Had met een goede korst dit jaar hoger gescoord. Prettig van smaak.,7,89.4,Echte Bakker Steenbergen,False,,Meppel,52,0.85,9.6
"6 voor  5,00","Maliebaan, voor nr 51",(Ruim) Voldoende, Een van de vele kramen waar een jongere generatie bakkers het roer overneemt. Zij zijn bereid om zich middels cursussen bij te scholen. Dat werpt vruchten af. Aangename oliebol.,7,98.5,Oliebollenkraam,False,,Utrecht,53,0.9,12.7
"11 voor  8,50",Duistervoordseweg 10,(Ruim) Voldoende, Fanatieke bakker draait vele malen nieuw beslag om tot zijn ultieme oliebol te komen. Dan bestaat het gevaar dat je het zicht kwijtraakt. Het panel valt over bijsmaken en geur.,7,85.7,Bakkerij In de Soete Suikerbol,False,,Twello,54,0.85,10.3
"10 voor  8,00",Ugchelseweg 173,(Ruim) Voldoende," De elfde plaats vorig jaar deed wonderen voor de verkoop. Nu nog steeds ruim voldoende, maar geen top. De structuur is iets te vast en niet voldoende veerkrachtig. Wel smakelijk.",7,81.9,Echte Bakker Frentz,False,,Ugchelen,55,0.9,11.7
"10 voor  8,00",Riouwstraat 2,(Ruim) Voldoende," De kleur is aan de lichte kant. Vanbinnen is hij vrij droog, waardoor het meer op een (brood)krentenbol dan een oliebol lijkt. Wel goed van smaak. Oppassen met smaakaccenten.",7,89,Bakkerij Van Herk,False,,Dordrecht,56,0.9,15.2
"11 voor  8,00",Van Harenstraat 74,(Ruim) Voldoende, Ivo Vliegendehond had zelf een erg goed ‘gevoel’ bij deze oliebol. Met zes top 10-plaatsen is hij een uitstekende bakker. Maar een te uitgesproken vruchtensmaak valt niet in de smaak.,7,98.5,Bakkerij Vliegendehond,False,,Wolvega,57,0.8,9.6
"10 voor  8,00",Koningin Julianalaan 267,(Ruim) Voldoende, Vooral op de korst is winst te behalen. Daar zijn recepten en baktechnieken voor. De structuur is wat sponsachtig. Maar wat de score ook is: AD is altijd vriendelijk te woord gestaan.,6.5,89.1,Verwijk’s Gebakkraam,False,,Voorburg,58,0.9,9.5
"12 voor  8,00",Philadelphiapad,(Ruim) Voldoende," De oliebol is een tikkeltje aan de vettige kant, maar daar is het tenslotte een oliebol voor. Met al die grote gaten is hij erg luchtig. Ook op smaak meer dan acceptabel.",6.5,86.2,Gebakkraam R. van den Houten & Kids,False,,Almere,59,1,8.97
"7 voor  5,00","Beneden Zandpad, winkelcentrum D’n Diek",(Ruim) Voldoende," Al vele jaren is Jack Brantenaar in november en december een vertrouwd gezicht in Middelharnis. Zijn vaste klanten weten wat ze aan hem hebben. Een keurige, standaard oliebol.",6.5,84.4,Gebakkraam Brantenaar,False,,Middelharnis,60,1,9.2
"11 voor  10,00",Plein 15,(Ruim) Voldoende, Een bol uit hetzelfde baksel werd door het Nederlands Bakkerij Centrum met goud bekroond. Maar de oliebol blijft juist op ‘smaak’ achter. Een teleurstelling voor Onno en Anita Bootsma.,6.5,98.5,De Wateringse Oliebollenkraam,False,,Wateringen,61,1,10.3
"10 voor  7,00","Van Eesterenplein, winkelcentrum Bieshof",(Ruim) Voldoende," Verkooppunt waar je door jaren ervaring weet wat je er kunt verwachten. Reemer zal nooit bij de echte top scoren, maar ook niet onderaan eindigen. Keurige middelmaat.",6.5,80.8,Dordtsche Gebakkraam Reemer,False,,Dordrecht,62,0.8,7.7
"10 voor  8,00",Spoorstraat 55 B,(Ruim) Voldoende, De mooie knapperige korst is pure winst. De vreemde zoete bijsmaak maakt niet iedereen enthousiast. Terug naar iets eenvoudiger receptuur is waarschijnlijk de oplossing.,6.5,94.4,Bakkerij Bi’j oons,False,,Haaksbergen,63,0.85,12
"6 voor  5,00",Fahrenheitstraat 642,(Ruim) Voldoende," Een vrij compacte oliebol, die ook als vrij droog wordt ervaren. Meer krentenbrood dan oliebol. De vulling is ook niet gelijkmatig verdeeld. Er zijn dus een paar verbeterpuntjes.",6.5,80.2,Bakkerij Segaar,False,,Den Haag,64,0.95,8.8
"11 voor  9,00",Frederik Hendriklaan,(Ruim) Voldoende, Met hun te lichte korst zijn deze oliebolletjes geen verleiders voor de bewoners van het deftige Statenkwartier. Ze zijn iets klef en taai. Maar de smaak valt niet tegen.,6.5,79.4,Hollandse Gebakkraam,False,,Den Haag,65,0.9,8.9
"11 voor  9,00",Bossenwaard,(Ruim) Voldoende," Deze bol oogt als een plaatje. Daar wil je meteen een hap van nemen. Doe je dat, dan moet je eerst door een taaie korst heen. Voor de rest is met de smaak niets mis.",6.5,87.3,Oliebollenkraam Reekers,False,,Zoetermeer,66,0.9,9.3
"12 voor  10,00",Ingang aankomstpassage,(Ruim) Voldoende," Zeker nog voldoende, maar voor verbetering vatbaar. Compacte structuur, waardoor de bol een beetje stijf aanvoelt. De vulling is aan de zuinige kant. Maar met wat poedersuiker….",6.5,86,Oliebollerie,False,,Schiphol,67,1,9.99
"11 voor  10,00",winkelcentrum De Struytse Hoeck,(Ruim) Voldoende," Een beetje een gemiddelde oliebol. Je hebt ze wel eens lekkerder gegeten, maar ook veel slechter. De trouwe aanhang van dit verkooppunt zal er vast geen moeite mee hebben.",6.5,102.1,Gebakkraam ’t  Krulletje jr,False,,Hellevoetsluis,68,1,6.6
"11 voor  9,00",Samuel Esmeijerplein,(Ruim) Voldoende, Hier is met weinig inspanning een betere oliebol te bakken. De verbrande rozijnen aan de buitenzijde doen de smaak geen goed. Het mondgevoel is aan de onaangename kant.,6.5,87.3,Gebakkraam Het Lage Land,False,,Rotterdam,69,0.9,5.3
"10 voor  9,50",Emiclaerhof 240,(Ruim) Voldoende, Meer ingrediënten maken een oliebol niet altijd beter. Belangrijkste aandachtspuntje: de korst. Zorg dat die knapperig wordt en een hogere klassering is een feit.,6.5,89.3,De Bakkende Bakkers Groenendijk,False,,Amersfoort,70,1,7.9
"11 voor  8,00",Zeestraat,(Ruim) Voldoende," Een verkooppunt waar het kan vriezen en dooien. Als klant moet je een beetje geluk hebben. De bol is aan de droge kant, de korst een tikkeltje taai. Verbrande vruchten aan buitenzijde.",6.5,76.4,Dutch Bakery,False,,Volendam,71,0.8,7.9
"11 voor  9,00","Buiksloterweg, bij de veerpont",(Ruim) Voldoende," De bol smaakt niet echt verkeerd, maar kan vooral baktechnisch een stuk beter. De korst is taai. Ook de vulling kan beter worden verdeeld. Vraagt wat attentie.",6.5,88.5,Mirella’s oliebollerie,False,,Amsterdam,72,1,7.28
"10 voor  8,00",Welgelegen 2a,(Ruim) Voldoende," Het blijft een raadsel wat de Oliebollenhut heeft gedaan. Bijna iedereen klaagt over een niet te definiëren, nare bijsmaak. Ook te weinig luchtig. Een van de zwaardere bollen.",6.5,101.3,Oliebollenhut Tholen,False,,Tholen,73,0.9,13.1
"12 voor  10,00",Nieuwe Markt,(Ruim) Voldoende," Verkooppunt waarvan je weet hoeveel inspanning men zich getroost om tot een goed product te komen. Goede korst, maar de vulling valt iets tegen. Kan meer smaak hebben.",6.5,92.6,Hollandse Gebakkraam Martin Verwijk,False,,Gouda,74,1,13.2
"10 voor  8,00",Willemsplein,(Ruim) Voldoende," Oliebol of overmaatse bitterbal? Een vreemde eend in de bijt. Hij is best redelijk van smaak, maar geeft tegelijkertijd een naar mondgevoel. Zonde van al die verbrande vruchten.",6.5,80.9,Hollandsche Gebakkraam,False,,Arnhem,75,1,11
"14 voor  10,00",Renswoudestraat,(Ruim) Voldoende, Ook hier geldt dat minder toevoegingen gebruiken een betere oliebol oplevert. De overdreven aanwezigheid van kaneel doet afbreuk aan de smaak. Mag iets beter gevuld.,6,80.7,Hollandse Gebakkraam Albers,False,,Amsterdam,76,1,12
"13 voor  10,00","Prinses Beatrixlaan, winkelcentrum In de Bogaard",(Ruim) Voldoende," Eindigde ooit heel hoog, maar dat lijkt toch een gelukstreffer te zijn geweest. De smaak is niet echt slecht, maar kan zoveel beter. De korst is aan de taaie kant. Wel rijk gevuld.",6,114.2,Oud-Hollandse Gebakkraam Aart van de Weerdt,False,,Rijswijk,77,1,9.5
"13 voor  10,00","Hoogstade, winkelcentrum Crimpenhof",(Ruim) Voldoende," Een rijk gevulde oliebol die daardoor aan de (te) zoete kant is. Wordt ook als droog ervaren. Wel een goede, krokante korst. Ondanks een matig eindcijfer een aan te raden verkooppunt.",6,99.9,Gebakkraam Corrie Spelbrink,False,,Krimpen aan den IJssel,78,0.9,10.4
"10 voor  8,50",Oude Molstraat 38,(Ruim) Voldoende," De bol ziet er beter uit dan hij smaakt. Meest gehoord: ‘Deze oliebol is veel te droog, het lijkt wel gewoon krentenbrood.’ Dat is dus toch de persoonlijke  touch van de bakker.",6,92.2,Het Bakkertje,False,,Den Haag,79,0.95,11.5
"12 voor  9,00",Marie Heinekenplein,(Ruim) Voldoende," Kijk eens naar het recept. Zo zorgt (iets) meer vulling voor meer smaak en dat kan deze oliebol best gebruiken. Een hoger cijfer is in potentie aanwezig, nu dat er nog uithalen.",6,79.1,Hollandsche Gebakkraam Geisterfer,False,,Amsterdam,80,0.9,6.1
"12 voor  10,00",Cruquius 57,(Ruim) Voldoende," Pierre Benner jr doet er verstandig eens te kijken naar zijn receptuur. Wees minder krenterig met de vulling, dat komt de smaak ten goede. Wel een lekker knapperige korst.",6,83.9,Oliebollenkraam Pierre Benner jr,False,,Amersfoort,81,1,11.4
"12 voor  9,00",Pleinweg/Sieverstraat,(Ruim) Voldoende," De smaak is prima, maar door de taaie korst stijgt Heinrich Gühnen niet boven zichzelf uit. Jammer, want ook deze oliebollenbakker heeft het wel degelijk in de vingers.",6,93.9,Gebakkraam Gühnen,False,,Heerenveen,82,0.9,8.4
"10 voor  8,00","Nieuwe Rijksweg 2D, bij het tuincentrum",(Ruim) Voldoende," Nog geen onvoldoende, maar een hoogvlieger is deze bol ook niet. De korst is prima, maar de nodige smaak ontbreekt. Vanbinnen aan de kleffe kant. Oftewel: werk aan de winkel.",6,83.6,Gijs en Mien,False,,Goes,83,0.9,12.2
"10 voor  8,00",Burgerstraat 7,(Ruim) Voldoende, Vergeleken met voorgaande jaren laat Van Keulen steken vallen. En ‘te harde korst’ en ‘te droge bol’ zijn geen opmerkingen die voor bonuspunten zorgen. Ook vrij vast van structuur.,6,102.4,Bakkerij Van Keulen,False,,Gameren,84,0.9,11.8
"11 voor  10,00",Fiep Westendorpplein 8a,(Ruim) Voldoende," Een bolletje om naar te kijken, minder om te eten. Of zoals een panellid zegt: ‘Beoordeel een boek niet op het omslag.’ De te grote hoeveelheid vulling zorgt voor smaaklawaai.",6,96.9,Bakkerij van Horssen,False,,Zaltbommel,85,0.95,10.9
"10 voor  8,00",Winkelcentrum Hof van Spaland,(Ruim) Voldoende," Het is maar een klein verschil tussen een krokante en een te harde korst. Hier slaat de balans naar de verkeerde kant door. Jammer, want de smaak is eigenlijk best goed.",6,108.1,Gebakkraam Joop van der Weerdt,False,,Schiedam,86,1,6.8
"10 voor  7,95",Westerscheldeplein 10,(Ruim) Voldoende," Bliek blijft de afgelopen jaren steeds steken in goede bedoelingen. Ook nu is het een acceptabele oliebol, maar helaas niet meer dan dat. De schrale vulling werkt ook niet mee.",6,87.6,Bakker Bliek,False,,Middelburg,87,0.9,13
"12 voor  10,00",Koornmarkt,(Ruim) Voldoende," Pierre Benner sr heeft meermaals aangetoond dat hij een prima oliebol kan bakken. Deze bol heeft een goede korst, maar komt op smaak iets tekort. Het blijft een vertrouwd adres.",6,82.9,Gouki de Oliebollenkoning/Gebakkraam Benner,False,,Almelo,88,1,11.6
"10 voor  7,00",Pieter Stastokerf,(Ruim) Voldoende, Dit bolletje ziet er niet uit. Aan de lichte kant en onregelmatig van vorm. Maar het gaat om de smaak en die kan er – wonderbaarlijk genoeg – eigenlijk best mee door.,6,82.9,Gebakkraam Treep,False,,Amersfoort,89,0.8,8.8
"14 voor  10,00","De Flinesstraat 9, voor de Makro",(Ruim) Voldoende, De Poorter scoort aanzienlijk beter dan enkele jaren geleden. Daaruit blijkt dat er hard is gewerkt aan verbeteringen. De oliebol smaakt redelijk. Iets meer vulling mag.,6,102.9,Gebakkraam De Poorter,False,,Duivendrecht,90,1,4.07
