Aanbieding in €,Adres,Adres_google,Categorie,Eindcijfer,Eindconclusie,Gewicht (gram),Naam,Plaats,Plaats op ranglijst,Prijs per stuk (euro),Vetpercentage
"10 voor 8,00",Ugchelseweg 173,"Ugchelseweg 173, Ugchelen, Nederland",Goed,8.5,"Rijk gevulde oliebol die zich gemakkelijk laat weghappen. Enkele panelleden constateren een licht bijsmaakje, maar niet zo erg dat het eetplezier verdwijnt. Zeker een aanrader.",104.0,Echte Bakker Frentz,Ugchelen,11.0,0.85,12.0
None,Dorpsstraat 86/S,"Dorpsstraat 86/S, Zoetermeer, Nederland",Goed,8.5,Jongerius Bakker is al jaren een vertrouwde naam in oliebollenland. Stond vele keren in de top 10. Grijpt daar nu net naast. Smakelijke bol. Veel opmerkingen over grote hoeveelheid appel.,97.0,Jongerius Bakker,Zoetermeer,12.0,0.95,13.3
"13 voor 10,00","Spui, naast het stadhuis","52°04'37.1""N 4°19'00.1""E",Goed,8.5,Met recht een oliebol! Jan Vermolen heeft de korst lekker knapperig gekregen. De bol is goed gevuld en heeft een mooie afbeet. Knap hoe Vermolen zich in de hoogste regionen handhaaft.,97.0,Gebakkraam Jan Vermolen,Den Haag,13.0,1.0,18.3
"10 voor 9,00",Keenenburgweg 12,"Keenenburgweg 12, Schipluiden, Nederland",Goed,8.5,"Holtkamp laat punten liggen op de korst. Die is niet knapperig, maar aan de taaie kant. Voor de rest is het een uitstekende oliebol met een frisse, heldere smaak. Dooreter die je niet wilt wegleggen.",100.0,Bakkerij Holtkamp,Schipluiden,14.0,0.95,9.49
"10 voor 9,00",AaBe-straat 3,"Wethouder van Ierlantstraat 33, 5021 AT Tilburg, Nederland",Goed,8.5,Ook Van Iersel behoort tot de meesterbakkers die jaar na jaar laten zien dat zij aan de top meedraaien. Gedreven vakmensen die het beste uit hun producten willen halen. Ook dat lukt dit keer.,94.0,Meesterbakker Van Iersel,Tilburg,15.0,0.95,12.5
None,Benschopperstraat 4,"Benschopperstraat 4, IJsselstein, Nederland",Goed,8.5,Een oliebol waarmee je voor de dag kunt komen: luchtig en evenwichtig van smaak. Desondanks is de winnaar van 2014 zwaar teleurgesteld. Alles was erop gericht de titel te prolongeren.,88.0,Bakkerij Brokking,IJsselstein,16.0,1.0,14.2
"10 voor 8,50",Dorpsstraat 16,"Dorpsstraat 16, Holten, Nederland",Goed,8.5,"Gedreven ondernemersechtpaar Martin en Ingrid Nijkamp krijgt met een hoge klassering weer loon naar werken. Uitgebalanceerde, frisse smaak. Een oliebol waarvan je een tweede exemplaar wilt.",95.0,Echte Bakker Nijkamp,Holten,17.0,0.9,10.8
"11 voor 10,00",Plein 15a,"Plein 15a, Wateringen, Nederland",Goed,8.5,Ook Onno en Anita Bootsma  halen het onderste uit de kan. En dat leidt tot een prima bolletje. Maakten de afgelopen jaren grote stappen voorwaarts.  Behaalden goud bij het Nederlands Bakkerij Centrum.,101.0,Wateringse Oliebollenkraam,Wateringen,18.0,1.0,11.2
"12 voor 10,00",Heyhoefpromenade 1,"Heyhoefpromenade 1, Tilburg, Nederland",Goed,8.5,"Richard Voets mikte op een plaats in de top 10, maar ook hij moest ervaren dat de concurrentie steeds heftiger wordt. De klant profiteert, want dit is weer een prima verteerbare oliebol.",95.0,Gebakkraam Richard Voets,Tilburg,19.0,1.0,9.55
"10 voor 9,00",E.P. van Ooijenstraat 1,"E.P. van Ooijenstraat 1, Aalst, Nederland",Goed,8.5,Bakker laat met een keurige oliebol zien dat hij zijn vak verstaat. Iets knapperige korst en een goede afbeet. Vulling zou wat royaler mogen zijn. Aalst weet waar het terecht kan.,97.0,Brood- en Banketbakkerij Van Horssen,Aalst,20.0,0.9,11.9
"11 voor 8,00",Duistervoordseweg 10,"Duistervoordseweg 10, Twello, Nederland",Goed,8.5,"Vergeleken met vorig jaar zo’n 70 plaatsen hoger in de rangschikking. Hier is hard gewerkt aan het maken van een betere oliebol. Fris van smaak, maar aan de zoete kant. Korst kan knapperiger.",86.0,In de Soete Suikerbol,Twello,21.0,0.8,8.51
"11 voor 9,00",Floreffestraat 7,"Floreffestraat 7, Someren, Nederland",Goed,8.5,"Bolletje dat met betere korsteigenschappen ongetwijfeld nog hoger had gescoord. Voor je het weet, neem je weer een hap. En nog een. En plotseling is de oliebol op. Groter compliment kun je niet krijgen.",101.0,Bakkerij van de Mortel,Someren,22.0,0.9,10.6
None,"Beneden Oostdijk 64, parkeerterrein Tuinwereld","Beneden Oostdijk 64, 3261 KX Oud-Beijerland, Nederland",Goed,8,"Ook Dorus de Boeck kreeg goud van het Nederlands Bakkerij Centrum. Zonder meer smakelijk. Kijk uit met het toevoegen van te veel ingrediënten: dat zorgt voor afleiding van de eerlijke, simpele oliebol.",87.0,Gebakkraam De Boeck,Oud-Beijerland,23.0,0.9,11.5
None,Koningstraat 5,"Koningstraat 5, Rossum, Nederland",Goed,8,"Vorig jaar verrassend tweede. Nu moeten Ruud en Chantal Gremmee een stapje terug doen. Beslist een goede en smakelijke oliebol, maar dit keer ontbreekt het effect dat je versteld doet staan.",102.0,Bakkerij Ruud & Chantal Gremmee,Rossum,24.0,0.9,10.1
"10 voor 9,00",Meenthof 10,"Meenthof 10, Kortenhoef, Nederland",Goed,8,Tussen de 20 gekochte oliebollen zijn er een paar die niet (helemaal) gaar zijn. Dat drukt de score. Want verder gaat het om een smakelijke bol. De vulling mag iets royaler.,92.0,Bakker Sturkenboom,Kortenhoef,25.0,0.95,13.2
"10 voor 9,00",Espenhof 30,"Espenhof 30, Papendrecht, Nederland",Goed,8,"Prima, luchtig bolletje met een aangename smaak. Zou met iets meer vruchten en een meer knapperige korst nog beter zijn. Een vertrouwd adres dat al jaren hoog in de middenmoot scoort.",95.0,Meesterbakker Uljee,Papendrecht,26.0,1.0,11.0
None,Beijerlandselaan/Slaghekstraat,"51°53'51.2""N 4°30'39.4""E",Goed,8,"Ook Ronald Smit heeft zich ingespannen om tot een betere oliebol te komen. Goed om te zien dat hij daarin slaagt. Iets zoet, maar niet hinderlijk. De korst kan nog wat krokanter. Keurig verkooppunt.",106.0,Gebakkraam familie Smit,Rotterdam,27.0,0.9,10.7
None,Burgerstraat 7,"Burgerstraat 7, Gameren, Nederland",Goed,8,"Na zich één keer in de oliebol te hebben verslikt, bewees Van Keulen in 2014 dat hij veel beter kon. Komt ook nu weer met een prima oliebol. De korst is nog een verbeterpuntje.",96.0,Bakker Van Keulen,Gameren,28.0,0.9,11.2
"12 voor 10,00",Voor ingang aankomstpassage,"52°18'34.6""N 4°45'18.7""E",Goed,8,"Een iets vettere oliebol, maar voor de meerderheid van het panel is dat geen bezwaar. De korst is wat te zacht, maar verder goed van smaak. Voor deze kraam een record. Mooi!",89.0,Oliebollerie,Schiphol,29.0,1.0,10.4
"10 voor 8,50",Blijmarkt 4,"Blijmarkt 4, Zwolle, Nederland",Goed,8,"Eigenaar Arend Kisteman is een van de betere bakkers van Nederland. Alleen met de oliebol wilde het niet lukken. Nu laat hij zien dat hij het wél kan. Lekkere oliebollen, het omrijden waard.",93.0,De Stadsbakker,Zwolle,30.0,0.9,13.2
"10 voor 8,00",Parade,"51°41'14.7""N 5°18'26.6""E",Goed,8,"Beetje onregelmatige bollen, maar een kniesoor die daar aanstoot aan neemt. Ze smaken helemaal niet verkeerd. Als aan een paar verbeterpunten wordt gewerkt een potentiële topkandidaat.",89.0,De Oliebollenkraam,Den Bosch,31.0,1.0,13.7
"11 voor 10,00",Koornmarkt,"Koornmarkt, Almelo, Nederland",Goed,8,"Loon naar werken voor Pierre Benner, het beste cijfer sinds jaren. Met de kwaliteit die hij nu levert, is het beslist de moeite waard om langs te gaan. Goed van smaak, iets meer vruchten mag.",91.0,Gouki de Oliebollenkoning by Pierre Benner,Almelo,32.0,1.0,11.2
None,Zuiderzeestraatweg 357,"Zuiderzeestraatweg 357, Oldebroek, Nederland",Goed,8,Jonker onderscheidt zich door een uitstekende prijs-kwaliteitverhouding. Zoekt al jaren naar het antwoord op de vraag hoe hij zijn bollen beter krijgt. Zouden iets meer uitgesproken mogen zijn.,91.0,Bakkerij Jonker,Oldebroek,33.0,0.7,9.37
"11 voor 8,00","De Dobbe, winkelcentrum AA-landen","52°31'49.6""N 6°06'11.6""E",Goed,8,"Een oliebol die van een beetje meer lucht nog beter was geworden. Nu iets te compact, maar dat wordt meer dan goedgemaakt door de smaak. Mooi fris en een knapperige korst.",115.0,Gebakkraam Gerrit Visscher,Zwolle,34.0,0.8,8.14
"10 voor 8,00",Herenstraat 33,"Herenstraat 33, Rijswijk, Nederland",Goed,8,Bakker Piet doet zichzelf en zijn klanten tekort door te bezuinigen op zijn vulling. Meer vruchten toevoegen zou de smaak opkrikken. En dat merk je dan weer in het eindresultaat.,100.0,Bakker Piet,Rijswijk,35.0,0.85,12.4
"10 voor 8,00","Bijlmerplein, ter hoogte van nummer 94 (Lidl)","Bijlmerplein, ter hoogte van nummer 94 (Lidl), Amsterdam, Nederland",Goed,8,"Lekkere knapperige korst. De vulling is aan de zuinige kant, daar valt nog iets te winnen. Goed van structuur, hapt lekker weg. Niet iedereen waardeert het bestrooien met vanillesuiker.",94.0,Gebakkraam Verwijk,Amsterdam,36.0,0.9,7.72
"11 voor 9,00","Kelvinring 60, parkeerterrein Hornbach","Kelvinring 60, Alblasserdam, Nederland",Goed,8,"Een goede korst is het halve werk, keurig gebakken. Mooie structuur, iets meer krenten en rozijnen erin had best gemogen. Verkoopster blijft ondanks drukte erg ontspannen en vriendelijk. Keurig.",82.0,Oud Hollandse Gebakkraam,Alblasserdam,37.0,0.9,9.58
"10 voor 8,00",Looweg 28,"Looweg 28, Coevorden, Nederland",Goed,8,Henk Slagter denkt in termen van negens en zal dus niet blij zijn met een 8. Toch heeft hij ook nu weer een bolletje gebakken dat erin gaat als Gods woord in een ouderling.,88.0,Echte Bakker Slagter,Coevorden,38.0,0.9,12.6
"6 voor 5,00",Sluisplein,"52°17'50.3""N 4°54'50.1""E",Goed,8,"In 2011 verraste Dennis Smit vriend en vijand met een tweede plaats. Die heeft hij nooit meer gehaald, maar hij laat wel zien nog steeds een goede bol te kunnen bakken. Smakelijk.",101.0,Gebakkraam Dennis Smit,Ouderkerk aan de Amstel,39.0,1.0,8.73
"10 voor 8,00",Deventerstraat 197,"Deventerstraat 197, Apeldoorn, Nederland",Ruim voldoende,7.5,"Niet slecht qua smaak, maar had best een stuk luchtiger gemogen. Doet enigszins klef aan. De korst is niet lekker knapperig. Wellicht deed Toet te veel zijn best en keert dat zich tegen hem.",96.0,Bakkerij Toet,Apeldoorn,40.0,0.85,10.5
"11 voor 10,00",Marktstraat 21,"Marktstraat 21, Made, Nederland",Ruim voldoende,7.5,"De resultaten van Van Dongen zijn altijd voldoende, maar wel sterk wisselend. Dit jaar komt hij met een bijna neutraal smakende oliebol. De korst is een tikkeltje aan de taaie kant.",99.0,Bakkerij Van Dongen,Made,41.0,0.95,11.6
"12 voor 10,00","Zeemanstraat 2, parkeerterrein Makro","51°52'07.5""N 4°32'47.3""E",Ruim voldoende,7.5,"In de korst lijkt elastiek te zijn verwerkt, maar ben je daar doorheen, dan tref je een smakelijke inhoud. Luchtig met goede afbeet. En wat meer rozijnen erin kan geen kwaad.",73.0,Gebakkraam,Barendrecht,42.0,1.0,7.12
"10 voor 8,00",Kerkstraat 37,"Kerkstraat 37, Zeewolde, Nederland",Ruim voldoende,7.5,Grootkarzijn ging enkele jaren geleden onderuit en heeft duidelijke stappen vooruit gezet met deze smakelijke oliebol. Toch lijkt hij nog zoekende naar de ultieme receptuur. De korst kan beter.,90.0,Echte Bakker Grootkarzijn,Zeewolde,43.0,0.85,11.2
"10 voor 8,00",Oever 5,"Oever 5, Meppel, Nederland",Ruim voldoende,7.5,"Niet slecht, maar het zijn wel erg veel smaken die om aandacht vragen. Een van de kenmerken van een goede oliebol is zijn eenvoud. Bijsmaakjes zijn helemaal niet nodig.",89.0,Echte Bakker Steenbergen,Meppel,44.0,0.85,12.9
"5 voor 4,00",Koninginnelaan 50-52,"Koninginnelaan 50-52, Apeldoorn, Nederland",Ruim voldoende,7.5,"Een van de kleinere oliebollen. Veel proevers maken opmerkingen over het gebrek aan luchtigheid: ,,Te klef en blijft aan je gehemelte plakken.’’ Extra smaak door veel rozijnen.",77.0,Bakkerij Van der Wal Jolink,Apeldoorn,45.0,0.9,11.4
None,Kreeftstraat 36,"Kreeftstraat 36, Rotterdam, Nederland",Ruim voldoende,7.5,Klootwijk krijgt opvallend veel negatieve opmerkingen over de smaak van de olie waarin is gebakken. Voor de rest een product dat waardering oogst. Maar er had meer ingezeten.,95.0,Bakkerij Klootwijk,Rotterdam,46.0,0.9,13.4
"10 voor 8,95",Dorpstraat 85,"Dorpstraat 85, Bleiswijk, Nederland",Ruim voldoende,7.5,"De smaak is prima en ook de korst laat zich lekker wegknagen. Het grote minpunt is klefheid. Het plakt en kleeft, en dat eet niet echt prettig. Verbeter dit en de subtop is bereikt.",98.0,Bakker Ammerlaan,Bleiswijk,47.0,0.95,11.6
"10 voor 9,00",Stationsplein,"Stationsplein, Zwijndrecht, Nederland",Ruim voldoende,7.5,"Waar jarenlang Oliebollenkraam Sterk op deze plek de scepter zwaaide, gaan nieuwe eigenaren Patrick en Dayenne er nu voor. Geen onverdienstelijke start. Graag iets meer vulling.",85.0,Bollen & Wafels,Zwijndrecht,48.0,0.95,7.72
"10 voor 8,00",Spoorstraat 55a,"Spoorstraat 55a, Haaksbergen, Nederland",Ruim voldoende,7.5,Personeel looft eigenaar Bas Nijhuis vanwege de ruimte die het krijgt. Bij zoveel vrijheid moet het mogelijk zijn beter te scoren. Bijvoorbeeld door minder bijsmaakjes. Erg goede korst.,89.0,Bakkerij Bi’j Oons,Haaksbergen,49.0,0.85,11.0
"10 voor 7,00","Elderveldplein, parkeerterrein winkelcentrum Elderhof","51°57'38.0""N 5°51'36.7""E",Ruim voldoende,7.5,De laatste jaren lukt het Van Reken zich steeds een beetje te verbeteren. Dat verdient respect en lof. De smaak is goed. Hetzelfde geldt voor de structuur. Maar de korst kan krakender.,79.0,Gebakkraam Van Reken,Arnhem,50.0,0.8,12.4
"12 voor 9,00",Kuperusplein,"Kuperusplein, Heerenveen, Nederland",Ruim voldoende,7,Bijna overdadig gevuld. Daardoor verbrande vruchten aan de buitenzijde die voor een bittertje zorgen. Gühnen staat regionaal goed bekend en stelt ook dit jaar zijn klanten niet teleur.,115.0,Gebakkraam Gühnen,Heerenveen,51.0,0.9,6.54
"12 voor 10,00",Nieuwgraaf 28,"Nieuwgraaf 28, Duiven, Nederland",Ruim voldoende,7,"Zeker niet onvoldoende, maar wel een oliebol die op een aantal punten te verbeteren is. Zo valt er nog winst te behalen op korst- en eeteigenschappen. Kwestie van blijven proberen.",95.0,Oliebollencompany,Duiven,52.0,1.0,9.42
"11 voor 9,00",Homoetsestraat 10,"Homoetsestraat 10, Maurik , Nederland",Ruim voldoende,7,De bollen zijn iets te donker gebakken en dat komt de smaak niet ten goede. Ook met een iets luchtiger product zou de score hoger zijn. Het zijn kleine puntjes om op te letten.,106.0,Suikertuintje van de Betuwe,Maurik,53.0,0.9,10.8
"10 voor 7,50",Nieuwerhoekplein 6,"Nieuwerhoekplein 6, Soest, Nederland",Ruim voldoende,7,"Niet slecht, maar ook hier geldt dat de oliebol beter af zou zijn met minder ingrediënten. Zo kan minder meer worden. Vooral kaneel is te overheersend aanwezig. Opvallend schone zaak.",95.0,IJssalon Bemer,Soest,54.0,0.8,10.8
"12 voor 10,00","Stationsstraat 5, parkeerterrein Intratuin","Stationsstraat 5, Rhoon, Nederland",Ruim voldoende,7,"Mathieu Westenberg is bereid te investeren in kennis en apparatuur. Dat leidde tot goud van het Nederlands Bakkerij Centrum. Korst en smaak zijn goed, maar iets te vast.",92.0,Gebakkraam Westenberg,Rhoon,55.0,1.0,10.1
"10 voor 8,00","Minervaweg 3, parkeerterrein Nijhof","Minervaweg 3, Baarn, Nederland",Ruim voldoende,7,"Een keurig oliebolletje. Ietwat vettig, maar dat ervaart niemand als een probleem. Voldoende vulling is mooi verdeeld. Ook de eigenschappen van de korst zijn prima in orde.",88.0,Gebakkraam De Poorter,Baarn,56.0,1.0,7.08
"10 voor 9,00",Gedempte Vaart 17,"Gedempte Vaart 17, Surhuisterveen, Nederland",Ruim voldoende,7,"Ze smaken niet slecht, maar deze oliebollen worden toch in veel gevallen ervaren als ‘droog krentenbrood’. Met zijn vakkennis moet deze bakker in staat zijn een beter product te maken.",91.0,Echte Bakker De Korenaar,Surhuisterveen,57.0,1.0,9.28
10 voor 8.50,Biltstraat 54,"Biltstraat 54, Utrecht, Nederland",Ruim voldoende,7,"Vrij grote oliebollen die maar net gaar zijn. Dat geeft veel opmerkingen over klef en plakkerig. Ook strijdt een aantal bijsmaken met elkaar om voorrang, dat kan best een beetje minder.",95.0,Bakkerij Neplenbroek,Utrecht,58.0,0.9,13.2
"13 voor 10,00","Hoogstade, winkelcentrum Crimpenhof","Hoogstade, Krimpen aan den IJssel, Nederland",Ruim voldoende,7,Op een nieuwe standplaats probeert Corrie Spelbrink een klantenkring op te bouwen. Dat lijkt te lukken met de beste oliebollen sinds jaren op deze locatie.,88.0,Gebakkraam Corrie Spelbrink,Krimpen aan den IJssel,59.0,0.9,9.99
"10 voor 8,50",Van Zeggelenlaan 109,"Van Zeggelenlaan 109, Den Haag, Nederland",Ruim voldoende,7,"Ook deze bakker maakt de vergissing zijn oliebollen te mooi te willen maken. Is het citroen, is het sinaasappel? En proeven we daar ook nog kaneel? Het wordt op deze manier een smaakbommetje.",78.0,Boulangerie Patisserie Marakesh,Den Haag,60.0,0.95,11.9
None,P.C. Hooftlaan,"P.C. Hooftlaan, Maassluis, Nederland",Ruim voldoende,7,Monique Visser scoort altijd voldoende met soms een uitschieter naar boven. Dit keer had zij er verstandig aan gedaan de kaneel beter te doseren. Die is nu veel te overheersend.,85.0,Monique Visser’s Gebakkraam,Maassluis,61.0,0.9,11.0
10 voor 8.50,Grotestraat 61,"Grotestraat 61, Tubbergen, Nederland",Ruim voldoende,7,Koopmans is een bakker die in de voorste gelederen wil opereren. Hij bakt met deze oliebol waarschijnlijk onder zijn kunnen. Korst iets taai. Compacte bol. Appel zorgt voor een zuurtje.,96.0,Bakkerij Koopmans,Tubbergen,62.0,0.9,8.53
None,Mauritsweg 9,"Mauritsweg 9, Stein, Nederland",Ruim voldoende,7,"Typisch zo’n bolletje uit de middenmoot. Je kunt er eigenlijk niets lelijks over zeggen, maar snel een tweede pakken doe je ook niet. Maak hem luchtiger en krokanter en je hebt een topper.",82.0,Bakkerij Dukers,Stein,63.0,0.9,11.4
None,’t Dorp 109,"’t Dorp 109, Heesch, Nederland",Ruim voldoende,7,"Weer een oliebol die te veel op krentenbrood lijkt. Grootste minpunt is echter de veel te zachte korst. Niet knapperig, maar taai. Of zoals iemand zegt: ,,Niet slecht, maar je knapt toch beetje af.’’",95.0,De bakkers Lamers,Heesch,64.0,0.97,9.78
"10 voor 7,50",Riouwstraat 2,"Riouwstraat 2, Dordrecht, Nederland",Ruim voldoende,7,"De drie belangrijkste zaken bij het oliebollen bakken zijn doseren, doseren en nog eens doseren. Houd de hand op de rem! Van Herk schiet uit, wat als commentaar ‘kaneelbroodje’ oplevert.",89.0,Bakkerij Van Herk,Dordrecht,65.0,0.8,15.2
"11 voor 7,00","Peter Stastokerf, parkeerterrein winkelcentrum Schothorst","52°10'26.1""N 5°23'23.9""E",Ruim voldoende,7,Deze kraam wordt gered door de fantastisch knapperige korst van de bol. Maar vanbinnen… De structuur is niet ideaal en de smaak vrij vlak. Alle vulling aan één kant wijst op minder goed beslag.,70.0,Gebakkraam Treep,Amersfoort,66.0,0.8,11.0
"6 voor 4,00","Rijksstraatweg 124, parkeerterrein winkelcentrum","Rijksstraatweg 124, Hellevoetsluis, Nederland",Ruim voldoende,7,"Oliebollenkraam Seth hanteert relatief lage prijzen, maar maakt de fout ook te bezuinigen op de vulling. Doe niet zo krenterig, die ene cent kostprijs maakt het verschil niet. De smaak wel.",81.0,Oliebollenkraam Seth,Hellevoetsluis,67.0,0.75,7.83
"11 voor 9,50",Hoofdweg 730 A,"Hoofdweg 730 A, Hoofddorp, Nederland",Ruim voldoende,7,"Als Bakker Gerard in de spiegel kijkt, ziet hij niet de kampioensbakker die hij misschien denkt te zijn. Amper gaar, veel verschillende bijsmaken en te weinig vulling, die bollen. Toch nog wel te eten.",103.0,Bakker Gerard,Hoofddorp,68.0,0.95,10.1
"10 voor 9,00",Laan van Wateringseveld 678,"Laan van Wateringseveld 678, Den Haag, Nederland",Ruim voldoende,7,"Roodenrijs heeft aangetoond aan de top te kunnen meedraaien, maar is te wisselend om zich daar een vaste plaats te verwerven. Panel heeft opmerkingen over een ‘te vlakke smaak’.",92.0,Meesterbakker Roodenrijs,Den Haag,69.0,0.95,12.8
"10 voor 8,00","Schieweg 104, parkeerterrein Makro","Schieweg 104, Delft, Nederland",Voldoende,6.5,Verkooppunt waarvan het resultaat eerlijk gezegd een beetje tegenvalt. Was vaak in de hoogste regionen te vinden. Nu omhult een taaie korst een oliebol met weinig smaak. Jammer!,87.0,Gebakkraam Denies,Delft,70.0,1.0,7.49
"6 voor 5,00",Oranjeplein 14,"Oranjeplein 14, Puttershoek, Nederland",Voldoende,6.5,"De Koning heeft het net niet. Overdosis aan taaie appel. Erg donker gebakken, gecamoufleerd door vanillesuiker. En een knul van 13 die de kraam bemant, oogt niet professioneel.",85.0,Echte Bakker De Koning,Puttershoek,71.0,1.0,13.0
None,Dr. Wiardi Beckmansingel 45,"Dr. Wiardi Beckmansingel 45, Vlaardingen, Nederland",Voldoende,6.5,"Herweijer is een van de bakkers die, vermoedelijk met de beste bedoelingen, aan het knutselen is geslagen en daarbij van het pad is geraakt. Een ondefinieerbare smaak wordt perzik genoemd.",99.0,Herweijer kwaliteitsbakker,Vlaardingen,72.0,0.95,14.0
"13 voor 9,00","Wendelaarstraat, parkeerterrein AH","52°37'11.5""N 4°44'08.7""E",Voldoende,6.5,Het zoet van de vulling en het bitter van de verbrande krenten gaan met elkaar een onbesliste strijd aan. Vanillesuiker verbergt de ergste mankementen. Zal warm aan de kraam best smaken.,82.0,Gebakkraam Dutch Bakery,Alkmaar,73.0,0.9,7.84
"10 voor 8,50",Oude Molstraat 38,"Oude Molstraat 38, Den Haag, Nederland",Voldoende,6.5,"Een droge oliebol met weer een grote variëteit aan smaakjes, waaronder vanille en rum. Enkele bollen zijn op het randje van gaar en daardoor klef in de mond. Kan en moet een stuk beter.",87.0,Het Bakkertje,Den Haag,74.0,0.95,12.1
"11 voor 8,00",Regentesseplein,"Regentesseplein, Den Haag, Nederland",Voldoende,6.5,"Door de erg taaie korst valt het woord ‘kauwgomballen’. Krenten aan de buitenzijde zijn verbrand. Goed gevuld, toch weinig smaak. Kijk eens naar kwaliteit van de grondstoffen.",68.0,Hollandse Gebakkraam Huijbrechts,Den Haag,75.0,0.8,9.6
"5 voor 3,95",Lange Delft 127,"Lange Delft 127, Middelburg, Nederland",Voldoende,6.5,"Verbrande krenten zorgen voor een ongewenst bittertje, aan de korst valt ook nog wel het een en ander te verbeteren. Voor Bliek een kwestie van weer even scherp worden.",89.0,Bliek Meesterbakkers,Middelburg,76.0,0.9,11.8
"14 voor 10,00",Renswoudestraat,"Renswoudestraat, Amsterdam, Nederland",Voldoende,6.5,Receptuur is altijd een keuze. Hier is sprake van erg veel appel en overdaad schaadt. De bollen hadden ook een minuutje langer in de olie mogen liggen en zijn nu maar net gaar.,87.0,Hollandse Gebakkraam Albers,Amsterdam,77.0,1.0,10.4
"12 voor 10,00","Seinedreef, parkeerterrein winkelcentrum Overvecht","52°06'46.5""N 5°06'38.2""E",Voldoende,6.5,"Jopie Witstijn, al jaren een vertrouwd adres, is een beetje wisselend in zijn resultaten. Nu is zijn oliebol aan de vette kant, de korst zacht en de vulling erg zoet. Daarmee doet hij zichzelf tekort.",100.0,Hollandse Gebakkraam J. Witstijn,Utrecht,78.0,1.0,8.12
